case,replica,ensemble,time_fs,temperature_k,potential_energy_ev_per_atom,total_energy_ev_per_atom,max_force_ev_per_angstrom,nearest_neighbor_distance_angstrom,rms_displacement_angstrom
ambient_fcc,1,nvt,85,348.479209485,-3.70542860031,-3.66179183107,1.0374262793,2.69291424798,0.247883725477
ambient_fcc,1,nvt,90,318.584757785,-3.70215988159,-3.66226651298,1.15544486258,2.68494001633,0.251688494368
ambient_fcc,1,nvt,95,283.574285468,-3.69920825958,-3.66369892267,1.24940837753,2.67998793884,0.253765195853
ambient_fcc,1,nvt,100,248.702793116,-3.69794201851,-3.66679931014,1.20999394649,2.68036756773,0.254850681034
ambient_fcc,1,nvt,105,265.358750495,-3.69918107986,-3.66595270283,1.13947108895,2.68449395836,0.254395455552
ambient_fcc,1,nvt,110,274.021334659,-3.70165371895,-3.66734060809,1.10258268953,2.6922343462,0.252817465878
ambient_fcc,1,nvt,115,315.911381497,-3.70464754105,-3.66508893416,0.98567568579,2.69960759773,0.250646663819
ambient_fcc,1,nvt,120,306.387044811,-3.70731258392,-3.66894662002,0.8708603901,2.70140863491,0.247121800423
ambient_fcc,1,nve,5,293.73152952,-3.73847103119,-3.70168979827,0.22716853623,2.8285717735,0
ambient_fcc,1,nve,10,264.732929294,-3.73483943939,-3.70168942805,0.475501742893,2.79511262061,0.0250695554336
ambient_fcc,1,nve,15,219.472992281,-3.72917246819,-3.70168993248,0.748966859787,2.76490048299,0.0483894763933
ambient_fcc,1,nve,20,164.649451028,-3.72230553627,-3.70168803627,1.0180308157,2.73942694051,0.06906795351
ambient_fcc,1,nve,25,111.271366487,-3.71562051773,-3.70168705252,1.22899744564,2.72004180227,0.0863110774777
ambient_fcc,1,nve,30,71.6231413873,-3.71065568924,-3.70168699783,1.33369773365,2.70760796252,0.0995844542288
ambient_fcc,1,nve,35,53.9078280871,-3.70843696594,-3.70168659636,1.31208906778,2.70238761436,0.10875965639
ambient_fcc,1,nve,40,58.5478370682,-3.70901846886,-3.70168707466,1.17776103719,2.70425808563,0.114171302505
ambient_fcc,1,nve,45,78.9049718146,-3.71156835556,-3.70168782911,0.972253825812,2.71208098104,0.116553265299
ambient_fcc,1,nve,50,105.506519658,-3.71490049362,-3.70168890588,0.750114867194,2.72331104969,0.116873953603
ambient_fcc,1,nve,55,130.348500184,-3.71801137924,-3.70168906426,0.583960355409,2.73432148594,0.116129759839
ambient_fcc,1,nve,60,148.721366331,-3.72031188011,-3.70168890414,0.664398980905,2.7406921861,0.115160989799
ambient_fcc,1,nve,65,158.904969074,-3.72158694267,-3.70168877005,0.727686569962,2.73935801002,0.114524223434
ambient_fcc,1,nve,70,161.405511884,-3.72189974785,-3.7016884558,0.766154329726,2.73450487443,0.114431321197
ambient_fcc,1,nve,75,158.488447262,-3.72153520584,-3.70168919032,0.770437389012,2.72954805275,0.114768514261
ambient_fcc,1,nve,80,153.668102669,-3.72093105316,-3.70168864399,0.916221785325,2.72797486216,0.115203244582
ambient_fcc,1,nve,85,150.669756756,-3.72055482864,-3.70168787409,1.02514671043,2.72959639702,0.115351579803
ambient_fcc,1,nve,90,151.998627208,-3.72072124481,-3.70168788833,1.04797286613,2.733386553,0.114945456819
ambient_fcc,1,nve,95,157.900969687,-3.72146058083,-3.70168812959,0.97090290575,2.7387270413,0.113938375056
ambient_fcc,1,nve,100,166.455041869,-3.72253203392,-3.70168843679,0.807309476343,2.7441679289,0.112517106492
ambient_fcc,1,nve,105,174.763797415,-3.72357273102,-3.70168870669,0.766202960817,2.74781035757,0.111024448116
ambient_fcc,1,nve,110,180.415143235,-3.72428011894,-3.7016884298,0.739698590532,2.74941728108,0.109831366721
ambient_fcc,1,nve,115,182.289594784,-3.72451472282,-3.70168831377,0.713480168305,2.75130895993,0.109215542071
ambient_fcc,1,nve,120,180.542605306,-3.72429585457,-3.70168820455,0.678710965808,2.75060384901,0.109292938909
ambient_fcc,2,nvt,5,226.058342882,-3.69497847557,-3.66667131843,1.20881292082,2.67716745655,0
ambient_fcc,2,nvt,10,216.617304605,-3.69488930702,-3.66776436218,1.20102359786,2.67778647003,0.0219680453845
ambient_fcc,2,nvt,15,214.640568412,-3.69581079483,-3.66893337805,1.16136462263,2.67978144895,0.0428046735973
ambient_fcc,2,nvt,20,241.519893815,-3.69796085358,-3.66771759204,1.06896616956,2.68168083711,0.0626905137899
ambient_fcc,2,nvt,25,296.691052057,-3.7011692524,-3.66401742634,0.943692512585,2.68719981116,0.0840181071738
ambient_fcc,2,nvt,30,321.393689941,-3.70478320122,-3.66453809648,0.872788640126,2.69880705138,0.105935576842
ambient_fcc,2,nvt,35,329.712523819,-3.70740485191,-3.66611805797,0.778788595561,2.70668129709,0.127456807378
ambient_fcc,2,nvt,40,350.075202494,-3.70882248878,-3.66498586837,0.89057052781,2.70754309349,0.148662365357
ambient_fcc,2,nvt,45,336.294954793,-3.70871067047,-3.66659962069,0.966597827939,2.70337556113,0.169672317387
ambient_fcc,2,nvt,50,320.986642028,-3.70851588249,-3.66832174854,0.956834225811,2.69890403959,0.188080502244
ambient_fcc,2,nvt,55,309.055901625,-3.70790457726,-3.66920441755,0.902628474993,2.69176393891,0.204909817779
