time,exact_position,float64_exact_position,low_precision_exact_position,float64_biased_position
110.7,-0.735591348245,-0.626104193086,-0.615,0.416422051501
111.6,0.0733947436595,0.222787217856,0.231,0.973420020903
112.5,0.8268371568,0.902651872871,0.903,0.778117250689
113.4,0.954545693947,0.897682275404,0.889,-0.0185479022891
114.3,0.359873080255,0.21164881653,0.202,-0.800878440907
115.2,-0.50714430595,-0.634960788489,-0.639,-0.964255772791
116.1,-0.990364992115,-0.999831076271,-0.993,-0.382414889031
117,-0.7240971967,-0.606138081456,-0.595,0.494972621755
117.9,0.0901529211835,0.24742668939,0.255,0.989824062357
118.8,0.836177105653,0.913270948081,0.912,0.71969701658
119.7,0.949399127044,0.88622435279,0.877,-0.10664274955
120.6,0.344134816823,0.186806923941,0.178,-0.850564425196
121.5,-0.521563861912,-0.654339319705,-0.656,-0.937133434547
122.4,-0.992553408131,-0.999043920289,-0.993,-0.299445534456
123.3,-0.712398323159,-0.585782446786,-0.577,0.569666717106
124.2,0.106885610021,0.271907156896,0.276,0.998516098159
125.1,0.845280644467,0.923303127191,0.92,0.655669414787
126,0.943984139152,0.874196915052,0.867,-0.193906712294
126.9,0.328299257106,0.161844983455,0.155,-0.893623415958
127.8,-0.535835957566,-0.673297352276,-0.675,-0.902709618577
128.7,-0.994461202268,-0.997614747848,-0.993,-0.214143113084
129.6,-0.70049803521,-0.565050370234,-0.557,0.639922374244
130.5,0.123588079387,0.29621288847,0.301,0.999428406144
131.4,0.854145199423,0.932741963213,0.93,0.586533302882
132.3,0.938302261237,0.861607691394,0.853,-0.279659891741
133.2,0.312370878249,0.136779036388,0.128,-0.929719928138
134.1,-0.549956557803,-0.691822703187,-0.694,-0.861252530792
135,-0.996087835141,-0.995544477377,-0.99,-0.127172240761
135.9,-0.688399697391,-0.543955174874,-0.535,0.705192211018
136.8,0.140255607036,0.320328264499,0.326,0.992553878256
137.7,0.86276826427,0.941581390459,0.94,0.512827340314
138.6,0.932355099719,0.848464772039,0.842,-0.363234160058
139.5,0.296354183637,0.111625190891,0.105,-0.958572723365
140.4,-0.563921670344,-0.709903467475,-0.713,-0.813085175356
141.3,-0.997432846856,-0.992834439297,-0.989,-0.0392105327161
142.2,-0.676106730229,-0.522510417128,-0.513,0.764967691245
143.1,0.156883480606,0.344237787699,0.353,0.977946075931
144,0.871147401032,0.94981572844,0.952,0.435125791564
144.9,0.926144336024,0.834776603033,0.828,-0.443978365941
145.8,0.280253701627,0.0863996116001,0.075,-0.979957001165
146.7,-0.577727346871,-0.727528025883,-0.734,-0.758582838073
147.6,-0.998495857143,-0.989486375161,-0.986,0.0490566759338
