time_step,replica_index,time,relative_energy_error
0.003,0,2.97,-1.9317350279e-05
0.003,0,3,-3.80599329842e-05
0.003,0,3.03,-4.25139033171e-05
0.003,0,3.06,-3.66666440051e-05
0.003,0,3.09,-3.62691685151e-05
0.003,0,3.12,-4.03705251684e-05
0.003,0,3.15,-3.09258783623e-05
0.003,0,3.18,-2.68312546087e-05
0.003,0,3.21,-4.65443256625e-05
0.003,0,3.24,-4.3409981641e-05
0.003,0,3.27,-3.335491987e-05
0.003,0,3.3,-2.75854996381e-05
0.003,0,3.33,-4.23454016248e-05
0.003,0,3.36,-3.2251923e-05
0.003,0,3.39,-2.73370482855e-05
0.003,0,3.42,-3.29594337158e-05
0.003,0,3.45,-4.02456585966e-05
0.003,0,3.48,-3.51986324721e-05
0.003,0,3.51,-3.01233881125e-05
0.003,0,3.54,-3.38331447872e-05
0.003,0,3.57,-3.83909296626e-05
0.003,0,3.6,-2.94166322368e-05
0.003,1,0,0
0.003,1,0.03,-3.65539627964e-06
0.003,1,0.06,-1.97427379551e-05
0.003,1,0.09,-4.62767995472e-05
0.003,1,0.12,-8.23217951209e-06
0.003,1,0.15,-6.48844014158e-06
0.003,1,0.18,-2.478472376e-05
0.003,1,0.21,-2.79843873992e-05
0.003,1,0.24,-1.93214040293e-05
0.003,1,0.27,-2.37552950434e-05
0.003,1,0.3,-2.18154570939e-05
0.003,1,0.33,-2.08711198541e-05
0.003,1,0.36,-2.15018898314e-05
0.003,1,0.39,-1.98168023309e-05
0.003,1,0.42,-2.10040982403e-05
0.003,1,0.45,-2.4384820635e-05
0.003,1,0.48,-2.41165302849e-05
0.003,1,0.51,-1.60925928341e-05
0.003,1,0.54,-2.28850339387e-05
0.003,1,0.57,-2.53906678492e-05
0.003,1,0.6,-2.37459596597e-05
0.003,1,0.63,-2.06571530351e-05
0.003,1,0.66,-2.83890983934e-05
0.003,1,0.69,-3.05346661194e-05
0.003,1,0.72,-2.07686839338e-05
0.003,1,0.75,-3.06812415003e-05
0.003,1,0.78,-2.5458597167e-05
0.003,1,0.81,-3.01787596822e-05
0.003,1,0.84,-2.11670569369e-05
0.003,1,0.87,-4.14253177393e-05
0.003,1,0.9,-3.19437615388e-05
0.003,1,0.93,-2.0336413213e-05
0.003,1,0.96,-3.45037094741e-05
0.003,1,0.99,-3.14530859504e-05
0.003,1,1.02,-2.19377221076e-05
0.003,1,1.05,-3.93911175497e-05
0.003,1,1.08,-2.98309348585e-05
0.003,1,1.11,-2.27549058975e-05
0.003,1,1.14,-3.33511729835e-05
0.003,1,1.17,-2.98789340089e-05
0.003,1,1.2,-2.93493241667e-05
0.003,1,1.23,-3.56334621448e-05
0.003,1,1.26,-2.45696908067e-05
0.003,1,1.29,-2.96087585093e-05
0.003,1,1.32,-3.32291242208e-05
0.003,1,1.35,-3.03849950316e-05
0.003,1,1.38,-3.55652187654e-05
0.003,1,1.41,-3.25535159914e-05
0.003,1,1.44,-3.4308220339e-05
0.003,1,1.47,-3.34043093917e-05
0.003,1,1.5,-3.39059393969e-05
0.003,1,1.53,-3.96090568947e-05
0.003,1,1.56,-3.61603794312e-05
0.003,1,1.59,-3.82714963162e-05
0.003,1,1.62,-3.07955504384e-05
0.003,1,1.65,-3.27274088895e-05
0.003,1,1.68,-4.89325198961e-05
0.003,1,1.71,-3.92097170371e-05
0.003,1,1.74,-2.83147519166e-05
0.003,1,1.77,-5.00313052097e-05
0.003,1,1.8,-4.80191722058e-05
0.003,1,1.83,-2.47178455872e-05
0.003,1,1.86,-3.17237520132e-05
0.003,1,1.89,-4.67623290146e-05
0.003,1,1.92,-4.05320880412e-05
0.003,1,1.95,-2.50841388714e-05
0.003,1,1.98,-4.0235686392e-05
0.003,1,2.01,-3.17353955288e-05
0.003,1,2.04,-3.11030404372e-05
