true_pmf_x,true_pmf_y,histogram_pmf_x,histogram_pmf_y,reweighted_pmf_x,reweighted_pmf_y,rdf_x,rdf_y,rdf_pmf_x,rdf_pmf_y,argon_rdf_x,argon_rdf_y,argon_rdf_pmf_x,argon_rdf_pmf_y
-2.27083333333,17.2780221068,0.83,0.215220038993,0.83,0.339825471794,1.12133891213,4.98938342097,1.12133891213,0.0980887581954,1.665,0.585343538533,1.665,1.14653810443
-2.26666666667,17.1212049383,0.89,0.159078075689,0.89,0.296480367886,1.13263598326,5.1201616646,1.13263598326,0.0722150837232,1.695,0.59809998845,1.695,1.13144678727
-2.2625,16.9653886963,0.95,0.0533991393946,0.95,0.213263482012,1.14393305439,5.23408762386,1.14393305439,0.0502085521442,1.725,0.621324521062,1.725,1.10477988204
-2.25833333333,16.8105694493,1.01,0.112413310832,1.01,0.243066383098,1.15523012552,5.32955120765,1.15523012552,0.0321340639512,1.755,0.655360499429,1.755,1.06744752306
-2.25416666667,16.6567432729,1.07,0.0191974553856,1.07,0.201092043693,1.16652719665,5.40518130621,1.16652719665,0.0180431026998,1.785,0.696125006645,1.785,1.02520687257
-2.25,16.50390625,1.13,0.191443360191,1.13,0.303783722885,1.17782426778,5.45987876118,1.17782426778,0.00797451279471,1.815,0.777285186216,1.815,0.94801222595
-2.24583333333,16.3520544708,1.19,0.273171384456,1.19,0.44162259269,1.18912133891,5.49284318255,1.18912133891,0.00195509203725,1.845,0.887164770591,1.845,0.855455839886
-2.24166666667,16.2011840326,1.25,0.33360479559,1.25,0.497150339144,1.20041841004,5.50359270125,1.20041841004,0,1.875,1.00861428161,1.875,0.765644480022
-2.2375,16.05129104,1.31,0.620204030903,1.31,0.75701824533,1.21171548117,5.49197597934,1.21171548117,0.00211298325104,1.905,1.13778458372,1.905,0.681290536469
-2.23333333333,15.9023716049,1.37,0.802525587696,1.37,0.959711189042,1.2230125523,5.45817606319,1.2230125523,0.0082864178052,1.935,1.26185505921,1.935,0.608840618081
-2.22916666667,15.7544218464,1.43,1.20410216206,1.43,1.33550600869,1.23430962343,5.40270594619,1.23430962343,0.0185011681852,1.965,1.36741870757,1.965,0.552601288031
-2.225,15.6074378906,1.49,1.52644442692,1.49,1.70011545867,1.24560669456,5.32639599549,1.24560669456,0.0327262613779,1.995,1.42895378371,1.995,0.521788863592
-2.22083333333,15.4614158713,1.55,2.06748382929,1.55,2.19571061775,1.25690376569,5.23037367758,1.25690376569,0.050918373,2.025,1.47701037668,2.025,0.498634632974
-2.21666666667,15.316351929,1.61,2.66699540481,1.61,2.80149946036,1.26820083682,5.11603627911,1.26820083682,0.0730211223969,2.055,1.46380546104,2.055,0.504920985868
-2.2125,15.1722422119,1.67,3.20042086049,1.67,3.35111998472,1.27949790795,4.98501754976,1.27949790795,0.0989641734716,2.085,1.4199346256,2.085,0.526221070732
-2.20833333333,15.0290828752,1.73,3.77684376675,1.73,4.15639866073,1.29079497908,4.83914938445,1.29079497908,0.128662139125,2.115,1.36151026213,2.115,0.555632453971
-2.20416666667,14.8868700813,1.79,5.14633100955,1.79,5.01065680069,1.30209205021,4.68041980432,1.30209205021,0.162013289708,2.145,1.28840606813,2.145,0.594264559502
-2.2,14.7456,1.85,5.14633100955,1.85,6.2443113038,1.31338912134,4.51092858516,1.31338912134,0.198898070357,2.175,1.20956627714,2.175,0.638465360608
-2.19583333333,14.6052688082,1.91,6.75576892198,1.91,7.01337487716,1.32468619247,4.33284191562,1.32468619247,0.239177439117,2.205,1.1377465799,2.205,0.681313917975
-2.19166666667,14.46587269,1.97,nan,1.97,nan,1.3359832636,4.14834744658,1.3359832636,0.282691048099,2.235,1.05947391251,2.235,0.731207920121
-2.1875,14.3274078369,2.03,nan,2.03,nan,1.34728033473,3.95961101972,1.34728033473,0.329255304295,2.265,1.01037397571,2.265,0.764424278593
-2.18333333333,14.1898704475,2.09,nan,2.09,nan,1.35857740586,3.76873624395,1.35857740586,0.378661365936,2.295,0.95583585609,2.295,0.803267008826
-2.17916666667,14.0532567277,2.15,nan,2.15,nan,1.36987447699,3.57772792969,1.36987447699,0.430673154972,2.325,0.914118786582,2.325,0.834504980074
-2.175,13.9175628906,2.21,nan,2.21,nan,1.38117154812,3.38846020248,1.38117154812,0.485025496745,2.355,0.893076923263,2.355,0.85080644638
-2.17083333333,13.7827851566,2.27,nan,2.27,nan,1.39246861925,3.20264990867,1.39246861925,0.541422533812,2.385,0.866750055295,2.385,0.871751894735
-2.16666666667,13.6489197531,2.33,nan,2.33,nan,1.40376569038,3.02183570709,1.40376569038,0.599536600643,2.415,0.850115443695,2.415,0.885316839125
-2.1625,13.515962915,2.39,nan,2.39,nan,1.41506276151,2.84736302256,1.41506276151,0.659007786666,2.445,0.856891764159,2.445,0.87975921849
