case,integrator,time_fs,volume_angstrom3,volume_ratio,pressure_pa,temperature_k,total_energy_ev_per_atom
isotropic_tau_2000fs,csvr_npt,1460,10391.1259766,1.08073207536,74544209.8714,96.8564015054,-0.0549302482978
isotropic_tau_2000fs,csvr_npt,1480,10399.2617188,1.08157823559,74203942.1451,96.3680169563,-0.054915972054
isotropic_tau_2000fs,csvr_npt,1500,10424.5429688,1.08420761934,68618400.7426,94.16155952,-0.0552094290033
isotropic_tau_2000fs,csvr_npt,1520,10445.9736328,1.08643652178,63566185.5345,100.909604835,-0.054372725077
isotropic_tau_2000fs,csvr_npt,1540,10460.5869141,1.08795638034,61457323.9284,99.8743039495,-0.054442582652
isotropic_tau_2000fs,csvr_npt,1560,10475.3271484,1.0894894427,60531357.3338,95.4920148296,-0.0548880668357
isotropic_tau_2000fs,csvr_npt,1580,10501.3671875,1.09219774453,57454902.9991,94.0456388046,-0.0549392076209
isotropic_tau_2000fs,csvr_npt,1600,10494.4326172,1.09147651253,61550380.8208,95.7062865975,-0.0545980548486
flexible_tau_1000fs,baoab_npt_langevin,20,10092.2412109,1,82012923.104,96.4745777936,-0.0577491382137
flexible_tau_1000fs,baoab_npt_langevin,40,10142.1826172,1.00494849511,75452531.872,98.8445220644,-0.057198015973
flexible_tau_1000fs,baoab_npt_langevin,60,10192.9101562,1.00997488498,68685359.1169,97.3912093137,-0.0571609782055
flexible_tau_1000fs,baoab_npt_langevin,80,10241.7666016,1.01481587563,65719872.0566,95.7534259524,-0.0569735532627
flexible_tau_1000fs,baoab_npt_langevin,100,10286.3007812,1.01922859019,60911853.8639,98.2934248856,-0.0564057221636
flexible_tau_1000fs,baoab_npt_langevin,120,10334.4238281,1.0239969113,49642744.2414,99.9893856033,-0.0562317324802
flexible_tau_1000fs,baoab_npt_langevin,140,10380.4541016,1.02855786783,39132244.9129,96.3949320306,-0.0567260487005
flexible_tau_1000fs,baoab_npt_langevin,160,10424.8730469,1.03295916427,30129391.5866,96.4666067074,-0.0566832665354
flexible_tau_1000fs,baoab_npt_langevin,180,10464.3681641,1.03687257819,23135166.309,99.1519441488,-0.0562777342275
flexible_tau_1000fs,baoab_npt_langevin,200,10504.6689453,1.04086582215,16953917.2151,106.575701774,-0.0552045842633
flexible_tau_1000fs,baoab_npt_langevin,220,10541.3115234,1.04449658932,11530831.6345,108.73698731,-0.0548209538683
flexible_tau_1000fs,baoab_npt_langevin,240,10576.9013672,1.04802304524,8639880.73639,106.059903053,-0.0549578685313
flexible_tau_1000fs,baoab_npt_langevin,260,10602.7060547,1.05057992899,7085303.81735,107.822670443,-0.0545599814504
flexible_tau_1000fs,baoab_npt_langevin,280,10625.7412109,1.0528623909,6957868.46892,110.346322139,-0.0540276421234
flexible_tau_1000fs,baoab_npt_langevin,300,10648.9169922,1.0551587868,9066312.06121,98.3472839675,-0.0552450669929
flexible_tau_1000fs,baoab_npt_langevin,320,10677.8876953,1.05802937842,8927350.29472,98.4855049179,-0.0549576291814
flexible_tau_1000fs,baoab_npt_langevin,340,10709.4599609,1.06115774852,6469245.8081,89.119348364,-0.0559696555138
flexible_tau_1000fs,baoab_npt_langevin,360,10740.2626953,1.06420986883,3182940.6135,88.9152176695,-0.0558647541329
flexible_tau_1000fs,baoab_npt_langevin,380,10769.3359375,1.06709062065,-1605544.05428,99.8127341798,-0.0544222770259
flexible_tau_1000fs,baoab_npt_langevin,400,10795.7128906,1.06970420791,-6286706.3184,91.1294581264,-0.0555319488049
flexible_tau_1000fs,baoab_npt_langevin,420,10829.2177734,1.07302407335,-12032143.3053,94.9426753404,-0.0550292721018
flexible_tau_1000fs,baoab_npt_langevin,440,10851.3486328,1.0752169321,-14577023.1595,107.862786273,-0.0533112231642
flexible_tau_1000fs,baoab_npt_langevin,460,10862.1318359,1.07628539676,-12189788.7927,108.974883005,-0.0529865846038
flexible_tau_1000fs,baoab_npt_langevin,480,10870.9111328,1.07715530234,-8159160.94614,109.596606034,-0.0526516502723
flexible_tau_1000fs,baoab_npt_langevin,500,10882.4941406,1.07830301646,-4779088.87679,104.525353216,-0.053044538945
flexible_tau_1000fs,baoab_npt_langevin,520,10903.7587891,1.08041004581,-2768337.29261,102.046815553,-0.0530775059015
flexible_tau_1000fs,baoab_npt_langevin,540,10926.1748047,1.08263115955,-2608591.45688,99.0926456324,-0.0532482909039
flexible_tau_1000fs,baoab_npt_langevin,560,10947.9394531,1.08478773191,-5034129.8198,102.760300106,-0.0527025936171
flexible_tau_1000fs,baoab_npt_langevin,580,10965.4951172,1.08652725277,-6781697.27859,102.385210588,-0.052670493722
flexible_tau_1000fs,baoab_npt_langevin,600,10976.5810547,1.08762571418,-5619937.24746,92.6854836038,-0.0537552041933
flexible_tau_1000fs,baoab_npt_langevin,620,10977.0429688,1.0876714834,-6927577.77869,92.4089549035,-0.0538524808362
flexible_tau_1000fs,baoab_npt_langevin,640,10981.4433594,1.08810750059,-8844620.47139,93.1126455812,-0.053827968426
flexible_tau_1000fs,baoab_npt_langevin,660,10990.1015625,1.08896540746,-11784726.136,100.992505579,-0.0528829749674
flexible_tau_1000fs,baoab_npt_langevin,680,10994.9472656,1.08944554889,-11825407.0515,104.738077059,-0.0523685598746
flexible_tau_1000fs,baoab_npt_langevin,700,10992.5283203,1.08920586523,-6179219.1087,104.942207754,-0.052089122124
flexible_tau_1000fs,baoab_npt_langevin,720,10995.5107422,1.08950138154,-661540.959442,110.509780041,-0.0510649653152
flexible_tau_1000fs,baoab_npt_langevin,740,11005.7431641,1.09051527149,3671792.97307,104.728189151,-0.0515005802736
flexible_tau_1000fs,baoab_npt_langevin,760,11020.6787109,1.09199517536,4912118.01382,102.301803514,-0.0516194095835
flexible_tau_1000fs,baoab_npt_langevin,780,11032.1035156,1.09312721377,6310103.6298,99.7278804476,-0.0517941862345
flexible_tau_1000fs,baoab_npt_langevin,800,11043.2626953,1.09423293246,4700508.49402,99.4502378206,-0.0518242763355
flexible_tau_1000fs,baoab_npt_langevin,820,11059.4072266,1.09583262978,-807280.393239,105.692813554,-0.0511527583003
flexible_tau_1000fs,baoab_npt_langevin,840,11083.4160156,1.0982115651,-8326380.27268,96.4766754479,-0.0524947885424
flexible_tau_1000fs,baoab_npt_langevin,860,11095.4794922,1.09940688696,-12176237.7993,95.3133525513,-0.0527115054429
flexible_tau_1000fs,baoab_npt_langevin,880,11096.3857422,1.09949668367,-13295474.8927,100.721908177,-0.0520362313837
flexible_tau_1000fs,baoab_npt_langevin,900,11096.7724609,1.09953500209,-14750541.5455,98.6048542131,-0.0523495590314
