true_x,true_pmf,dense_windows_x,dense_windows_pmf,dense_windows_replica_pmf,dense_windows_replica_abs_difference,sparse_windows_x,sparse_windows_pmf,sparse_windows_replica_pmf,sparse_windows_replica_abs_difference,pair_distance_umbrella_x,pair_distance_umbrella_pmf,pair_distance_umbrella_replica_pmf,pair_distance_umbrella_replica_abs_difference,pair_distance_umbrella_true_pmf,pair_distance_umbrella_interaction_pmf,pair_distance_umbrella_true_interaction_pmf
0.32,0.80568576,0.32,0.887133645567,0.881296336306,0.00583730926068,0.32,0.790231145707,0.788714959749,0.00151618595755,,,,,,,
0.36,0.75759616,0.36,0.821239801825,0.828559099071,0.00731929724666,0.36,0.798237956756,0.724953521979,0.073284434777,,,,,,,
0.4,0.7056,0.4,0.797483708859,0.744910320955,0.0525733879044,0.4,0.632495844376,0.697987963159,0.0654921187829,,,,,,,
0.44,0.65028096,0.44,0.739243243138,0.703832844471,0.0354103986663,0.44,0.619606509546,0.712389847071,0.0927833375253,,,,,,,
0.48,0.59228416,0.48,0.679258038772,0.678638160944,0.000619877828027,0.48,0.64765201237,0.567649174967,0.0800028374023,,,,,,,
0.52,0.53231616,0.52,0.578030875662,0.580937475042,0.0029065993802,0.52,0.601820557141,0.577272092536,0.0245484646046,,,,,,,
0.56,0.47114496,0.56,0.547522334796,0.544128360294,0.00339397450286,0.56,0.432738635507,0.49778283137,0.0650441958631,,,,,,,
0.6,0.4096,0.6,0.490795227238,0.50239736729,0.0116021400526,0.6,0.428856260666,0.372131548471,0.0567247121957,,,,,,,
0.64,0.34857216,0.64,0.433614839477,0.425265359087,0.00834948038916,0.64,0.327880057246,0.313718351491,0.0141617057545,,,,,,,
0.68,0.28901376,0.68,0.376923931108,0.37583342383,0.00109050727829,0.68,0.29088908809,0.287394557637,0.00349453045289,,,,,,,
0.72,0.23193856,0.72,0.335279672504,0.327303661619,0.00797601088481,0.72,0.249148385258,0.208508309475,0.0406400757829,,,,,,,
0.76,0.17842176,0.76,0.261762536868,0.250680129782,0.0110824070859,0.76,0.184071199657,0.195530894429,0.0114596947728,,,,,,,
0.8,0.1296,0.8,0.209970810654,0.229611740329,0.0196409296751,0.8,0.095429967034,0.0777970292675,0.0176329377665,,,,,,,
0.84,0.08667136,0.84,0.181336655299,0.188672610302,0.00733595500298,0.84,0.13452854188,0.106148910954,0.0283796309258,,,,,,,
